"Year" "Month" "TMax" "TMin" "Prec" "PAR" "CO2"
1800 1 9.88347630727181 -0.198998220493048 49.4641091359426 221.052233445517 295.84
1801 1 9.88347630727181 -0.198998220493048 49.4641091359426 216.369826040579 295.84
1802 1 9.88347630727181 -0.198998220493048 49.4641091359426 220.407877056016 295.84
1803 1 9.88347630727181 -0.198998220493048 49.4641091359426 205.729226045525 295.84
1804 1 9.88347630727181 -0.198998220493048 49.4641091359426 250.746666825641 295.84
1805 1 9.88347630727181 -0.198998220493048 49.4641091359426 205.729226045525 295.84
1806 1 9.88347630727181 -0.198998220493048 49.4641091359426 227.280174487784 295.84
1807 1 9.88347630727181 -0.198998220493048 49.4641091359426 228.666958756441 295.84
1808 1 9.88347630727181 -0.198998220493048 49.4641091359426 211.146370068337 295.84
1809 1 9.88347630727181 -0.198998220493048 49.4641091359426 202.68367901726 295.84
1810 1 9.88347630727181 -0.198998220493048 49.4641091359426 241.898857073577 295.84
1811 1 9.88347630727181 -0.198998220493048 49.4641091359426 272.292044300457 295.84
1812 1 9.88347630727181 -0.198998220493048 49.4641091359426 255.937452696583 295.84
1813 1 9.88347630727181 -0.198998220493048 49.4641091359426 240.648966176337 295.84
1814 1 9.88347630727181 -0.198998220493048 49.4641091359426 225.283548238782 295.84
1815 1 9.88347630727181 -0.198998220493048 49.4641091359426 255.937452696583 295.84
1816 1 9.88347630727181 -0.198998220493048 49.4641091359426 211.146370068337 295.84
1817 1 9.88347630727181 -0.198998220493048 49.4641091359426 247.459222806574 295.84
1818 1 9.88347630727181 -0.198998220493048 49.4641091359426 254.861421676737 295.84
1819 1 9.88347630727181 -0.198998220493048 49.4641091359426 228.666958756441 295.84
1820 1 9.88347630727181 -0.198998220493048 49.4641091359426 211.146370068337 295.84
1821 1 9.88347630727181 -0.198998220493048 49.4641091359426 255.185838491837 295.84
1822 1 9.88347630727181 -0.198998220493048 49.4641091359426 241.898857073577 295.84
1823 1 9.88347630727181 -0.198998220493048 49.4641091359426 250.746666825641 295.84
1824 1 9.88347630727181 -0.198998220493048 49.4641091359426 205.729226045525 295.84
1825 1 9.88347630727181 -0.198998220493048 49.4641091359426 205.729226045525 295.84
1826 1 9.88347630727181 -0.198998220493048 49.4641091359426 250.746666825641 295.84
1827 1 9.88347630727181 -0.198998220493048 49.4641091359426 237.067566467409 295.84
1828 1 9.88347630727181 -0.198998220493048 49.4641091359426 272.292044300457 295.84
1829 1 9.88347630727181 -0.198998220493048 49.4641091359426 200.50571950947 295.84
1830 1 9.88347630727181 -0.198998220493048 49.4641091359426 240.648966176337 295.84
1831 1 9.88347630727181 -0.198998220493048 49.4641091359426 233.419644885238 295.84
1832 1 9.88347630727181 -0.198998220493048 49.4641091359426 263.649309357505 295.84
1833 1 9.88347630727181 -0.198998220493048 49.4641091359426 272.292044300457 295.84
1834 1 9.88347630727181 -0.198998220493048 49.4641091359426 225.283548238782 295.84
1835 1 9.88347630727181 -0.198998220493048 49.4641091359426 241.265348523939 295.84
1836 1 9.88347630727181 -0.198998220493048 49.4641091359426 255.185838491837 295.84
1837 1 9.88347630727181 -0.198998220493048 49.4641091359426 217.260627380679 295.84
1838 1 9.88347630727181 -0.198998220493048 49.4641091359426 221.052233445517 295.84
1839 1 9.88347630727181 -0.198998220493048 49.4641091359426 237.067566467409 295.84
1840 1 9.88347630727181 -0.198998220493048 49.4641091359426 221.052233445517 295.84
1841 1 9.88347630727181 -0.198998220493048 49.4641091359426 190.583110180539 295.84
1842 1 9.88347630727181 -0.198998220493048 49.4641091359426 220.407877056016 295.84
1843 1 9.88347630727181 -0.198998220493048 49.4641091359426 200.50571950947 295.84
1844 1 9.88347630727181 -0.198998220493048 49.4641091359426 221.052233445517 295.84
1845 1 9.88347630727181 -0.198998220493048 49.4641091359426 241.265348523939 295.84
1846 1 9.88347630727181 -0.198998220493048 49.4641091359426 190.583110180539 295.84
1847 1 9.88347630727181 -0.198998220493048 49.4641091359426 227.280174487784 295.84
1848 1 9.88347630727181 -0.198998220493048 49.4641091359426 250.746666825641 295.84
1849 1 9.88347630727181 -0.198998220493048 49.4641091359426 247.459222806574 295.84
1850 1 9.88347630727181 -0.198998220493048 49.4641091359426 272.292044300457 295.84
1851 1 9.88347630727181 -0.198998220493048 49.4641091359426 200.50571950947 295.84
1852 1 9.88347630727181 -0.198998220493048 49.4641091359426 263.649309357505 295.84
1853 1 9.88347630727181 -0.198998220493048 49.4641091359426 209.781948242208 295.84
1854 1 9.88347630727181 -0.198998220493048 49.4641091359426 225.283548238782 295.84
1855 1 9.88347630727181 -0.198998220493048 49.4641091359426 232.100484493714 295.84
1856 1 9.88347630727181 -0.198998220493048 49.4641091359426 220.407877056016 295.84
1857 1 9.88347630727181 -0.198998220493048 49.4641091359426 221.052233445517 295.84
1858 1 9.88347630727181 -0.198998220493048 49.4641091359426 241.898857073577 295.84
1859 1 9.88347630727181 -0.198998220493048 49.4641091359426 226.163932225244 295.84
1860 1 9.88347630727181 -0.198998220493048 49.4641091359426 209.781948242208 295.84
1861 1 9.88347630727181 -0.198998220493048 49.4641091359426 272.292044300457 295.84
1862 1 9.88347630727181 -0.198998220493048 49.4641091359426 205.729226045525 295.84
1863 1 9.88347630727181 -0.198998220493048 49.4641091359426 217.260627380679 295.84
1864 1 9.88347630727181 -0.198998220493048 49.4641091359426 216.369826040579 295.84
1865 1 9.88347630727181 -0.198998220493048 49.4641091359426 202.68367901726 295.84
1866 1 9.88347630727181 -0.198998220493048 49.4641091359426 241.898857073577 295.84
1867 1 9.88347630727181 -0.198998220493048 49.4641091359426 209.781948242208 295.84
1868 1 9.88347630727181 -0.198998220493048 49.4641091359426 241.898857073577 295.84
1869 1 9.88347630727181 -0.198998220493048 49.4641091359426 225.283548238782 295.84
1870 1 9.88347630727181 -0.198998220493048 49.4641091359426 208.078537253472 295.84
1871 1 9.88347630727181 -0.198998220493048 49.4641091359426 233.419644885238 295.84
1872 1 9.88347630727181 -0.198998220493048 49.4641091359426 241.265348523939 295.84
1873 1 9.88347630727181 -0.198998220493048 49.4641091359426 255.139699038477 295.84
1874 1 9.88347630727181 -0.198998220493048 49.4641091359426 221.052233445517 295.84
1875 1 9.88347630727181 -0.198998220493048 49.4641091359426 205.729226045525 295.84
1876 1 9.88347630727181 -0.198998220493048 49.4641091359426 251.320529279683 295.84
1877 1 9.88347630727181 -0.198998220493048 49.4641091359426 241.898857073577 295.84
1878 1 9.88347630727181 -0.198998220493048 49.4641091359426 202.68367901726 295.84
1879 1 9.88347630727181 -0.198998220493048 49.4641091359426 211.146370068337 295.84
1880 1 9.88347630727181 -0.198998220493048 49.4641091359426 241.265348523939 295.84
1881 1 9.88347630727181 -0.198998220493048 49.4641091359426 216.369826040579 295.84
1882 1 9.88347630727181 -0.198998220493048 49.4641091359426 217.260627380679 295.84
1883 1 9.88347630727181 -0.198998220493048 49.4641091359426 240.648966176337 295.84
1884 1 9.88347630727181 -0.198998220493048 49.4641091359426 211.146370068337 295.84
1885 1 9.88347630727181 -0.198998220493048 49.4641091359426 255.937452696583 295.84
1886 1 9.88347630727181 -0.198998220493048 49.4641091359426 220.407877056016 295.84
1887 1 9.88347630727181 -0.198998220493048 49.4641091359426 217.260627380679 295.84
1888 1 9.88347630727181 -0.198998220493048 49.4641091359426 190.583110180539 295.84
1889 1 9.88347630727181 -0.198998220493048 49.4641091359426 255.937452696583 295.84
1890 1 9.88347630727181 -0.198998220493048 49.4641091359426 205.729226045525 295.84
1891 1 9.88347630727181 -0.198998220493048 49.4641091359426 217.260627380679 295.84
1892 1 9.88347630727181 -0.198998220493048 49.4641091359426 254.861421676737 295.84
1893 1 9.88347630727181 -0.198998220493048 49.4641091359426 221.052233445517 295.84
1894 1 9.88347630727181 -0.198998220493048 49.4641091359426 216.369826040579 295.84
1895 1 9.88347630727181 -0.198998220493048 49.4641091359426 202.68367901726 295.84
1896 1 9.88347630727181 -0.198998220493048 49.4641091359426 255.185838491837 295.84
1897 1 9.88347630727181 -0.198998220493048 49.4641091359426 241.265348523939 295.84
1898 1 9.88347630727181 -0.198998220493048 49.4641091359426 237.067566467409 295.84
1899 1 9.88347630727181 -0.198998220493048 49.4641091359426 213.493567028837 295.84
1900 1 9.88347630727181 -0.198998220493048 49.4641091359426 255.185838491837 296.21
1901 1 9.88347630727181 -0.198998220493048 49.4641091359426 200.50571950947 296.57
1902 1 9.88347630727181 -0.198998220493048 49.4641091359426 211.146370068337 296.87
1903 1 9.88347630727181 -0.198998220493048 49.4641091359426 213.493567028837 297.22
1904 1 9.88347630727181 -0.198998220493048 49.4641091359426 226.163932225244 297.51
1905 1 9.88347630727181 -0.198998220493048 49.4641091359426 228.666958756441 297.83
1906 1 9.88347630727181 -0.198998220493048 49.4641091359426 250.746666825641 298.18
1907 1 9.88347630727181 -0.198998220493048 49.4641091359426 213.493567028837 298.6
1908 1 9.88347630727181 -0.198998220493048 49.4641091359426 233.419644885238 299.03
1909 1 9.88347630727181 -0.198998220493048 49.4641091359426 228.666958756441 299.44
1910 1 9.88347630727181 -0.198998220493048 49.4641091359426 250.746666825641 299.87
1911 1 9.88347630727181 -0.198998220493048 49.4641091359426 232.100484493714 300.3
1912 1 9.88347630727181 -0.198998220493048 49.4641091359426 255.937452696583 300.78
1913 1 9.88347630727181 -0.198998220493048 49.4641091359426 233.419644885238 301.35
1914 1 9.88347630727181 -0.198998220493048 49.4641091359426 237.067566467409 301.88
1915 1 9.88347630727181 -0.198998220493048 49.4641091359426 202.68367901726 302.38
1916 1 9.88347630727181 -0.198998220493048 49.4641091359426 225.283548238782 302.92
1917 1 9.88347630727181 -0.198998220493048 49.4641091359426 211.146370068337 303.46
1918 1 9.88347630727181 -0.198998220493048 49.4641091359426 217.260627380679 303.97
1919 1 9.88347630727181 -0.198998220493048 49.4641091359426 190.583110180539 304.33
1920 1 9.88347630727181 -0.198998220493048 49.4641091359426 272.292044300457 304.76
1921 1 9.88347630727181 -0.198998220493048 49.4641091359426 254.861421676737 305.14
1922 1 9.88347630727181 -0.198998220493048 49.4641091359426 211.146370068337 305.51
1923 1 9.88347630727181 -0.198998220493048 49.4641091359426 250.746666825641 305.82
1924 1 9.88347630727181 -0.198998220493048 49.4641091359426 250.746666825641 306.21
1925 1 9.88347630727181 -0.198998220493048 49.4641091359426 211.146370068337 306.49
1926 1 9.88347630727181 -0.198998220493048 49.4641091359426 255.185838491837 306.61
1927 1 9.88347630727181 -0.198998220493048 49.4641091359426 190.583110180539 306.83
1928 1 9.88347630727181 -0.198998220493048 49.4641091359426 240.648966176337 307.01
1929 1 9.88347630727181 -0.198998220493048 49.4641091359426 255.185838491837 307.18
1930 1 9.88347630727181 -0.198998220493048 49.4641091359426 221.052233445517 307.31
1931 1 9.88347630727181 -0.198998220493048 49.4641091359426 213.493567028837 307.47
1932 1 9.88347630727181 -0.198998220493048 49.4641091359426 272.292044300457 307.74
1933 1 9.88347630727181 -0.198998220493048 49.4641091359426 237.067566467409 308.01
1934 1 9.88347630727181 -0.198998220493048 49.4641091359426 255.937452696583 308.39
1935 1 9.88347630727181 -0.198998220493048 49.4641091359426 220.407877056016 308.76
1936 1 9.88347630727181 -0.198998220493048 49.4641091359426 237.067566467409 309.4
1937 1 9.88347630727181 -0.198998220493048 49.4641091359426 202.68367901726 310.26
