"Year" "Month" "TMax" "TMin" "Prec" "PAR" "CO2"
1800 1 5.74239093361226 -4.48602066346235 75.530396764392 233.123220300802 295.84
1801 1 5.74239093361226 -4.48602066346235 75.530396764392 236.009468350512 295.84
1802 1 5.74239093361226 -4.48602066346235 75.530396764392 237.156881003975 295.84
1803 1 5.74239093361226 -4.48602066346235 75.530396764392 229.004519623466 295.84
1804 1 5.74239093361226 -4.48602066346235 75.530396764392 268.254208429486 295.84
1805 1 5.74239093361226 -4.48602066346235 75.530396764392 229.004519623466 295.84
1806 1 5.74239093361226 -4.48602066346235 75.530396764392 243.339137281516 295.84
1807 1 5.74239093361226 -4.48602066346235 75.530396764392 247.821755485699 295.84
1808 1 5.74239093361226 -4.48602066346235 75.530396764392 214.555580707732 295.84
1809 1 5.74239093361226 -4.48602066346235 75.530396764392 219.704243951285 295.84
1810 1 5.74239093361226 -4.48602066346235 75.530396764392 255.680570074963 295.84
1811 1 5.74239093361226 -4.48602066346235 75.530396764392 288.564207130636 295.84
1812 1 5.74239093361226 -4.48602066346235 75.530396764392 280.655502710736 295.84
1813 1 5.74239093361226 -4.48602066346235 75.530396764392 252.044814642513 295.84
1814 1 5.74239093361226 -4.48602066346235 75.530396764392 235.922131661693 295.84
1815 1 5.74239093361226 -4.48602066346235 75.530396764392 280.655502710736 295.84
1816 1 5.74239093361226 -4.48602066346235 75.530396764392 214.555580707732 295.84
1817 1 5.74239093361226 -4.48602066346235 75.530396764392 260.023811241025 295.84
1818 1 5.74239093361226 -4.48602066346235 75.530396764392 262.582335052132 295.84
1819 1 5.74239093361226 -4.48602066346235 75.530396764392 247.821755485699 295.84
1820 1 5.74239093361226 -4.48602066346235 75.530396764392 214.555580707732 295.84
1821 1 5.74239093361226 -4.48602066346235 75.530396764392 265.995676522926 295.84
1822 1 5.74239093361226 -4.48602066346235 75.530396764392 255.680570074963 295.84
1823 1 5.74239093361226 -4.48602066346235 75.530396764392 268.254208429486 295.84
1824 1 5.74239093361226 -4.48602066346235 75.530396764392 229.004519623466 295.84
1825 1 5.74239093361226 -4.48602066346235 75.530396764392 229.004519623466 295.84
1826 1 5.74239093361226 -4.48602066346235 75.530396764392 268.254208429486 295.84
1827 1 5.74239093361226 -4.48602066346235 75.530396764392 250.506100494971 295.84
1828 1 5.74239093361226 -4.48602066346235 75.530396764392 288.564207130636 295.84
1829 1 5.74239093361226 -4.48602066346235 75.530396764392 222.910929846997 295.84
1830 1 5.74239093361226 -4.48602066346235 75.530396764392 252.044814642513 295.84
1831 1 5.74239093361226 -4.48602066346235 75.530396764392 251.265575533018 295.84
1832 1 5.74239093361226 -4.48602066346235 75.530396764392 270.483394712117 295.84
1833 1 5.74239093361226 -4.48602066346235 75.530396764392 288.564207130636 295.84
1834 1 5.74239093361226 -4.48602066346235 75.530396764392 235.922131661693 295.84
1835 1 5.74239093361226 -4.48602066346235 75.530396764392 251.624878435593 295.84
1836 1 5.74239093361226 -4.48602066346235 75.530396764392 265.995676522926 295.84
1837 1 5.74239093361226 -4.48602066346235 75.530396764392 225.868042583868 295.84
1838 1 5.74239093361226 -4.48602066346235 75.530396764392 233.123220300802 295.84
1839 1 5.74239093361226 -4.48602066346235 75.530396764392 250.506100494971 295.84
1840 1 5.74239093361226 -4.48602066346235 75.530396764392 233.123220300802 295.84
1841 1 5.74239093361226 -4.48602066346235 75.530396764392 212.720164626861 295.84
1842 1 5.74239093361226 -4.48602066346235 75.530396764392 237.156881003975 295.84
1843 1 5.74239093361226 -4.48602066346235 75.530396764392 222.910929846997 295.84
1844 1 5.74239093361226 -4.48602066346235 75.530396764392 233.123220300802 295.84
1845 1 5.74239093361226 -4.48602066346235 75.530396764392 251.624878435593 295.84
1846 1 5.74239093361226 -4.48602066346235 75.530396764392 212.720164626861 295.84
1847 1 5.74239093361226 -4.48602066346235 75.530396764392 243.339137281516 295.84
1848 1 5.74239093361226 -4.48602066346235 75.530396764392 268.254208429486 295.84
1849 1 5.74239093361226 -4.48602066346235 75.530396764392 260.023811241025 295.84
1850 1 5.74239093361226 -4.48602066346235 75.530396764392 288.564207130636 295.84
1851 1 5.74239093361226 -4.48602066346235 75.530396764392 222.910929846997 295.84
1852 1 5.74239093361226 -4.48602066346235 75.530396764392 270.483394712117 295.84
1853 1 5.74239093361226 -4.48602066346235 75.530396764392 224.256138132707 295.84
1854 1 5.74239093361226 -4.48602066346235 75.530396764392 235.922131661693 295.84
1855 1 5.74239093361226 -4.48602066346235 75.530396764392 245.51983868945 295.84
1856 1 5.74239093361226 -4.48602066346235 75.530396764392 237.156881003975 295.84
1857 1 5.74239093361226 -4.48602066346235 75.530396764392 233.123220300802 295.84
1858 1 5.74239093361226 -4.48602066346235 75.530396764392 255.680570074963 295.84
1859 1 5.74239093361226 -4.48602066346235 75.530396764392 242.345051627463 295.84
1860 1 5.74239093361226 -4.48602066346235 75.530396764392 224.256138132707 295.84
1861 1 5.74239093361226 -4.48602066346235 75.530396764392 288.564207130636 295.84
1862 1 5.74239093361226 -4.48602066346235 75.530396764392 229.004519623466 295.84
1863 1 5.74239093361226 -4.48602066346235 75.530396764392 225.868042583868 295.84
1864 1 5.74239093361226 -4.48602066346235 75.530396764392 236.009468350512 295.84
1865 1 5.74239093361226 -4.48602066346235 75.530396764392 219.704243951285 295.84
1866 1 5.74239093361226 -4.48602066346235 75.530396764392 255.680570074963 295.84
1867 1 5.74239093361226 -4.48602066346235 75.530396764392 224.256138132707 295.84
1868 1 5.74239093361226 -4.48602066346235 75.530396764392 255.680570074963 295.84
1869 1 5.74239093361226 -4.48602066346235 75.530396764392 235.922131661693 295.84
1870 1 5.74239093361226 -4.48602066346235 75.530396764392 229.125865323987 295.84
1871 1 5.74239093361226 -4.48602066346235 75.530396764392 251.265575533018 295.84
1872 1 5.74239093361226 -4.48602066346235 75.530396764392 251.624878435593 295.84
1873 1 5.74239093361226 -4.48602066346235 75.530396764392 262.899644650259 295.84
1874 1 5.74239093361226 -4.48602066346235 75.530396764392 233.123220300802 295.84
1875 1 5.74239093361226 -4.48602066346235 75.530396764392 229.004519623466 295.84
1876 1 5.74239093361226 -4.48602066346235 75.530396764392 260.266589479468 295.84
1877 1 5.74239093361226 -4.48602066346235 75.530396764392 255.680570074963 295.84
1878 1 5.74239093361226 -4.48602066346235 75.530396764392 219.704243951285 295.84
1879 1 5.74239093361226 -4.48602066346235 75.530396764392 214.555580707732 295.84
1880 1 5.74239093361226 -4.48602066346235 75.530396764392 251.624878435593 295.84
1881 1 5.74239093361226 -4.48602066346235 75.530396764392 236.009468350512 295.84
1882 1 5.74239093361226 -4.48602066346235 75.530396764392 225.868042583868 295.84
1883 1 5.74239093361226 -4.48602066346235 75.530396764392 252.044814642513 295.84
1884 1 5.74239093361226 -4.48602066346235 75.530396764392 214.555580707732 295.84
1885 1 5.74239093361226 -4.48602066346235 75.530396764392 280.655502710736 295.84
1886 1 5.74239093361226 -4.48602066346235 75.530396764392 237.156881003975 295.84
1887 1 5.74239093361226 -4.48602066346235 75.530396764392 225.868042583868 295.84
1888 1 5.74239093361226 -4.48602066346235 75.530396764392 212.720164626861 295.84
1889 1 5.74239093361226 -4.48602066346235 75.530396764392 280.655502710736 295.84
1890 1 5.74239093361226 -4.48602066346235 75.530396764392 229.004519623466 295.84
1891 1 5.74239093361226 -4.48602066346235 75.530396764392 225.868042583868 295.84
1892 1 5.74239093361226 -4.48602066346235 75.530396764392 262.582335052132 295.84
1893 1 5.74239093361226 -4.48602066346235 75.530396764392 233.123220300802 295.84
1894 1 5.74239093361226 -4.48602066346235 75.530396764392 236.009468350512 295.84
1895 1 5.74239093361226 -4.48602066346235 75.530396764392 219.704243951285 295.84
1896 1 5.74239093361226 -4.48602066346235 75.530396764392 265.995676522926 295.84
1897 1 5.74239093361226 -4.48602066346235 75.530396764392 251.624878435593 295.84
1898 1 5.74239093361226 -4.48602066346235 75.530396764392 250.506100494971 295.84
1899 1 5.74239093361226 -4.48602066346235 75.530396764392 230.717662961386 295.84
1900 1 5.74239093361226 -4.48602066346235 75.530396764392 265.995676522926 296.21
1901 1 5.74239093361226 -4.48602066346235 75.530396764392 222.910929846997 296.57
1902 1 5.74239093361226 -4.48602066346235 75.530396764392 214.555580707732 296.87
1903 1 5.74239093361226 -4.48602066346235 75.530396764392 230.717662961386 297.22
1904 1 5.74239093361226 -4.48602066346235 75.530396764392 242.345051627463 297.51
1905 1 5.74239093361226 -4.48602066346235 75.530396764392 247.821755485699 297.83
1906 1 5.74239093361226 -4.48602066346235 75.530396764392 268.254208429486 298.18
1907 1 5.74239093361226 -4.48602066346235 75.530396764392 230.717662961386 298.6
1908 1 5.74239093361226 -4.48602066346235 75.530396764392 251.265575533018 299.03
1909 1 5.74239093361226 -4.48602066346235 75.530396764392 247.821755485699 299.44
1910 1 5.74239093361226 -4.48602066346235 75.530396764392 268.254208429486 299.87
1911 1 5.74239093361226 -4.48602066346235 75.530396764392 245.51983868945 300.3
1912 1 5.74239093361226 -4.48602066346235 75.530396764392 280.655502710736 300.78
1913 1 5.74239093361226 -4.48602066346235 75.530396764392 251.265575533018 301.35
1914 1 5.74239093361226 -4.48602066346235 75.530396764392 250.506100494971 301.88
1915 1 5.74239093361226 -4.48602066346235 75.530396764392 219.704243951285 302.38
1916 1 5.74239093361226 -4.48602066346235 75.530396764392 235.922131661693 302.92
1917 1 5.74239093361226 -4.48602066346235 75.530396764392 214.555580707732 303.46
1918 1 5.74239093361226 -4.48602066346235 75.530396764392 225.868042583868 303.97
1919 1 5.74239093361226 -4.48602066346235 75.530396764392 212.720164626861 304.33
1920 1 5.74239093361226 -4.48602066346235 75.530396764392 288.564207130636 304.76
1921 1 5.74239093361226 -4.48602066346235 75.530396764392 262.582335052132 305.14
1922 1 5.74239093361226 -4.48602066346235 75.530396764392 214.555580707732 305.51
1923 1 5.74239093361226 -4.48602066346235 75.530396764392 268.254208429486 305.82
1924 1 5.74239093361226 -4.48602066346235 75.530396764392 268.254208429486 306.21
1925 1 5.74239093361226 -4.48602066346235 75.530396764392 214.555580707732 306.49
1926 1 5.74239093361226 -4.48602066346235 75.530396764392 265.995676522926 306.61
1927 1 5.74239093361226 -4.48602066346235 75.530396764392 212.720164626861 306.83
1928 1 5.74239093361226 -4.48602066346235 75.530396764392 252.044814642513 307.01
1929 1 5.74239093361226 -4.48602066346235 75.530396764392 265.995676522926 307.18
1930 1 5.74239093361226 -4.48602066346235 75.530396764392 233.123220300802 307.31
1931 1 5.74239093361226 -4.48602066346235 75.530396764392 230.717662961386 307.47
1932 1 5.74239093361226 -4.48602066346235 75.530396764392 288.564207130636 307.74
1933 1 5.74239093361226 -4.48602066346235 75.530396764392 250.506100494971 308.01
1934 1 5.74239093361226 -4.48602066346235 75.530396764392 280.655502710736 308.39
1935 1 5.74239093361226 -4.48602066346235 75.530396764392 237.156881003975 308.76
1936 1 5.74239093361226 -4.48602066346235 75.530396764392 250.506100494971 309.4
1937 1 5.74239093361226 -4.48602066346235 75.530396764392 219.704243951285 310.26
1938 1 5.74239093361226 -4.48602066346235 75.530396764392 270.483394712117 310.86
1939 1 5.74239093361226 -4.48602066346235 75.530396764392 219.704243951285 311.4
1940 1 5.74239093361226 -4.48602066346235 75.530396764392 224.256138132707 311.95
1941 1 5.74239093361226 -4.48602066346235 75.530396764392 262.582335052132 312.44
1942 1 5.74239093361226 -4.48602066346235 75.530396764392 245.51983868945 312.85
1943 1 5.74239093361226 -4.48602066346235 75.530396764392 222.910929846997 313.16
1944 1 5.74239093361226 -4.48602066346235 75.530396764392 219.704243951285 313.27
1945 1 5.74239093361226 -4.48602066346235 75.530396764392 268.254208429486 313.25
1946 1 5.74239093361226 -4.48602066346235 75.530396764392 251.265575533018 313.22
1947 1 5.74239093361226 -4.48602066346235 75.530396764392 260.023811241025 313.3
1948 1 5.74239093361226 -4.48602066346235 75.530396764392 214.555580707732 313.37
1949 1 5.74239093361226 -4.48602066346235 75.530396764392 219.704243951285 313.42
1800 2 6.88371586954538 -3.60658356149982 69.0781234217497 290.543901356561 296.24
1801 2 6.88371586954538 -3.60658356149982 69.0781234217497 339.447291583595 296.24
1802 2 6.88371586954538 -3.60658356149982 69.0781234217497 361.841008387089 296.24
1803 2 6.88371586954538 -3.60658356149982 69.0781234217497 358.773540184747 296.24
1804 2 6.88371586954538 -3.60658356149982 69.0781234217497 300.540243250297 296.24
1805 2 6.88371586954538 -3.60658356149982 69.0781234217497 358.773540184747 296.24
1806 2 6.88371586954538 -3.60658356149982 69.0781234217497 292.301583526866 296.24
1807 2 6.88371586954538 -3.60658356149982 69.0781234217497 352.76808516266 296.24
1808 2 6.88371586954538 -3.60658356149982 69.0781234217497 280.552247925421 296.24
1809 2 6.88371586954538 -3.60658356149982 69.0781234217497 311.528939147876 296.24
1810 2 6.88371586954538 -3.60658356149982 69.0781234217497 306.55171450612 296.24
